Key,English
"statement_1450290941","Let's not get into any sort of details. What we just did is not good karma, and I hope they either figure it out, and their soul finds peace."
"statement_305002939","No. Samara did. Best not to think about it."
"responseID_-2088969424","Something strange happened to me."
"response_1374956358","I heard a loud scream. It hurt my ears."
"response_1277759608","Never mind. I don't want to talk about it."
"response_1949193699","Yes! It was a little girl."
"responseID_-2044119719","No, it wasn't from a girl."
"responseID_-1816999489","I don't want to talk about it."
"response_172563136","Thanks... you've been a big help."
"responseID_-1620771424","What's her story?"
"response_-908346532","They still do..."
"response_1159530012","The undead come."
"response_2032191363","Ha! I get it. That was a joke!"
"responseID_1785660431","You need to get out more."
"response_-1619478389","I haven't felt right since I heard the scream. What does it do?"
"response_172128771","How can I get rid of it?"
"response_1743203988","Thank you. I'll be careful."
"responseID_-1144522923","That seems a bit far fetch."
"response_1949206230","I believe you."
"responseID_-1127505608","I don't believe it."
"responseID_1232077073","Their stories aren't the only things unhinged around here."
"responseID_1776533721","Thanks"
"response_1691070598","Thanks"
"responseID_1914720825","Nothing, your gate door was a bit loose. I fixed it for you."
"responseID_-1518495351","I think you are as crazy as a bag of hammers."
"responseID_-581876162","Any time."
"response_1110710329","I'll find sub-par hammers elsewhere then."
"responseID_845310413","I think you are eating with only one chopstick, my friend."
"response_-514234855","Thanks. I'll accept the gift."
"responseID_1303045766","No thank you. I don't want it. It'll probably break."
"response_1544326785","I seen a very strange video."
"response_1230984892","There was a strange glowing ring."
"responseID_233506901","Never mind"
"response_-1130590735","Who is Samara Morgan?"
"responseID_-510829499","Never mind"
"response_-1331421506","Thank you for the information."
"response_-293129496","How can I get rid of it?"
"response_246289760","I will look for it."
"response_-1454898946","I lost the diary."
"response_-1572949998","I don't have time for this."
"response_131981184","Wait, no! I was kidding!"
"responseID_-1415535068","I don't need luck."
"response_626516940","Thank you."
"responseID_-947362790","Yeah... I won't lose this one."
"response_-881605692","I have the diary. "
"response_-1520921594","[ WAIT ]"
"response_2045784180","What does she say about her adoption?"
"response_264446954","Who would have told her about her adoption?"
"response_1439182572","Okay"
"response_1038183931","Okay"
"response_2024934934","Why would they tell her that her mother tried to kill her?"
"response_1525419981","Okay"
"response_-639509777","What other things are written about her adoption?"
"response_602165134","Do you think knowing more would help?"
"response_1145339368","Okay"
"response_-236901975","What does it say about Anna and Richard Morgan?"
"response_1264363158","Anything more about Anna?"
"response_1360727416","Samara disappeared before Anna jumped off the cliff."
"responseID_2030476192","Okay"
"response_657063919","[ WAIT ]"
"response_298672081","Why wouldn't anyone care?"
"response_-1603940508","Okay"
"response_-495717349","Anything more about Richard?"
"responseID_-1885425916","Okay."
"response_-1209839653","What kind of troubles did they have?"
"response_1559341662","Okay"
"response_1034513739","Okay"
"response_1359039742","Thanks"
"response_-1149064645","[ Samara Morgan ]"
"response_-1271784871","[ Horses ] "
"response_60838677","Never mind"
"responseID_76486222","[ Samara's Memories ]"
"responseID_1507843966","[ Pictures ]"
"response_-188593867","Okay"
"response_-1277426001","Okay"
"response_1190592597","Okay"
"response_1587852243","What do I need to do?"
"response_-1989035189","I'll find some. What should I do with them?"
"responseID_600718190","I'm not wasting my time on horses."
"response_-969323264","Never mind"
"responseID_158919345","Thank you"
"response_-480646321","What do I need to do?"
"response_-499484581","Thank you. I will."
"response_1536622570","What should I do?"
"response_-948836419","I'll search for them"
"responseID_-207980305","[ Shelter Mountain ]"
"response_-1108602506","[ Horses ]"
"response_-1137698064","Why did she hate the horses?"
"response_-1241857627","How did she kill the horses? She was only small."
"response_-1883435463","What was Samara?"
"response_-869412315","Thanks... I think."
"response_966181413","[ Shelter Mountain Inn ]"
"response_8881699","Thank you. I'll go right now."
"response_1023446245","I will."
"response_-452610220","[ Samara's Body ]"
"response_-1161418790","So Samara was murdered..."
"responseID_-1589115627","The ring in the video was from the well lid closing"
"response_1357038434","I guess she had enough"
"response_2139702701","She probably couldn't live with herself anymore"
"response_-1653223472","[ Next ]"
"response_1747011035","How long do you think she was alive for?"
"response_170492573","If she died at the bottom of that well, how did she make the video?"
"response_692561290","Why did she make the video?"
"response_-2145927645","Couldn't or wouldn't?"
"response_1507659575","Know about her? She's dead. Why would she care?"
"response_1958032391","It's not dead then? With everything I've done, it lives?"
"response_-1384724228","She is still coming for me?"
"response_-92236955","I've wasted all this time listening to you when I could have been running."
"response_-204844403","To what end? I'm still dead when she comes for me."
"response_-2064346467","You want me to write a book?"
"response_1441135985","It was just an idea..."
"response_-780212454","I'm done with you. You've killed me."
"response_-2062358013","You know. Isn't that enough?"
"response_-1829292311","What do you mean? How is the video the key?"
"response_949223669","How do we do that?"
"response_1043406159","I'll find some."
"response_1554810611","I have the spare parts"
"response_1082666055","[ WAIT ]"
"response_-622069112","I have the DVD"
"responseID_-1176316112","I don't have the DVD."
"response_1601539022","I'm not done yet..."
"response_1990407042","I have the DVD now."
"response_2127147936","Thank you for doing this for me."
"response_1658290028","Who did you send it to?"
"response_1753254079","Did we just kill someone?"
"response_1977811390","Okay..."
"response_1312085215","[ Diary ]"
"response_-151122301","I lost the diary"
"response_-11941819","Never mind"
"response_-286444739","I have the diary"
